Componente exigido por los Lineamientos,¿Presente en el PGD analizado?,Sección y página,Calidad (completo / parcial / declarativo),Observación
Introducción y marco normativo,Sí,1. Introducción / 7; 5. Base legal / 11,completo,El PGD presenta la introducción y el marco normativo aplicable.
Situación actual: análisis interno y externo,Sí,6.2 / 14,completo,Presenta el análisis de la situación actual del gobierno digital.
Alineamiento estratégico con el PEI y políticas nacionales,Sí,Sección de alineamiento estratégico,parcial,El PGD relaciona el gobierno digital con el planeamiento institucional.
Objetivos de gobierno digital,Sí,3. Objetivos / 10,completo,Establece un objetivo general y tres objetivos específicos.
Portafolio de proyectos,Sí,6. Contenido,parcial,Se identifican proyectos y acciones vinculadas al gobierno digital.
Gestión de riesgos,Sí,6. Contenido,parcial,Considera aspectos relacionados con seguridad y gestión de riesgos.
Cronograma e implementación,Sí,7. Cronograma de actividades,completo,Incluye la programación de actividades del PGD.
Supervisión y evaluación,Sí,Sección de seguimiento y evaluación,parcial,Considera mecanismos para el seguimiento de las acciones.
Anexos,Sí,8. Anexos,completo,El documento contiene anexos.
Líder de Gobierno Digital,Sí,Organización para el Gobierno Digital,parcial,Se contempla la responsabilidad institucional relacionada con gobierno digital.
Comité de Gobierno Digital,Sí,Organización para el Gobierno Digital,parcial,Se considera la organización institucional para gobierno digital.
Periodo de al menos 3 años,Sí,PGD 2024-2026,completo,El instrumento tiene un horizonte de tres años.
Actualización anual,Sí,Disposiciones de actualización,parcial,Se contempla la actualización del instrumento.
